ID,name,location,type,adname,address,X,Y
434,汕头市生大彩印厂,"116.745545,23.458987",公司企业;公司;冶金化工,澄海区,澄华路与玉潭路交叉路口往东南约280米,116.745545,23.458987
435,LE sweater原创工厂,"116.764318,23.452894",公司企业;公司;冶金化工,澄海区,中兴街建设大厦东侧约130米,116.764318,23.452894
436,毛衣工厂,"116.764375,23.452228",公司企业;公司;冶金化工,澄海区,中山南路建设大厦东南侧约150米,116.764375,23.452228
437,泽锋PVC吸塑厂,"116.775164,23.450954",公司企业;公司;冶金化工,澄海区,池墘下路子博幼儿园东北侧约70米,116.775164,23.450954
438,斌煌五金制品厂,"116.734505,23.472731",公司企业;公司;冶金化工,澄海区,玉亭路与南田路交叉口西北340米,116.734505,23.472731
439,晟辉达注塑厂,"116.808021,23.434293",公司企业;公司;冶金化工,澄海区,凤翔街道洲畔大山沟,116.808021,23.434293
440,少杰模具加工厂,"116.738068,23.483142",公司企业;公司;冶金化工,澄海区,锦利超市西北100米(澄江路北),116.738068,23.483142
441,盈恒片材厂,"116.794286,23.446853",公司企业;公司;冶金化工,澄海区,凤翔街道白沙蔬菜原种研究所内第四育种支队北面(奇乐多隔壁),116.794286,23.446853
442,普顺五金厂,"116.777594,23.456858",公司企业;公司;冶金化工,澄海区,东港路2号,116.777594,23.456858
443,九五安邦,"116.774154,23.475477",公司企业;公司;冶金化工,澄海区,美新西一路超智星大厦西侧约150米,116.774154,23.475477
444,华顺吸塑厂,"116.794921,23.442297",公司企业;公司;冶金化工,澄海区,S336(莱美路),116.794921,23.442297
445,泽锦达塑胶制品厂,"116.799899,23.440822",公司企业;公司;冶金化工,澄海区,兴业南路莱美工业区南四门西侧约60米,116.799899,23.440822
446,福岗模具加工厂,"116.787711,23.456821",公司企业;公司;冶金化工,澄海区,凤新一路湖兴2路西3号,116.787711,23.456821
447,裕鑫二厂,"116.821600,23.434748",公司企业;公司;冶金化工,澄海区,S336(汕头市裕鑫科教玩具实业有限公司),116.8216,23.434748
448,澄海东阳牙箱厂,"116.753522,23.493015",公司企业;公司;冶金化工,澄海区,登峰路登峰公寓西北侧约210米,116.753522,23.493015
449,攀佳胶带厂,"116.767985,23.476892",公司企业;公司;冶金化工,澄海区,汕汾路益泰园东侧约70米,116.767985,23.476892
450,宝美印刷厂,"116.814794,23.435648",公司企业;公司;冶金化工,澄海区,539国道与金鸿公路交叉口东260米,116.814794,23.435648
451,广益路彬彬热切布料厂,"116.751142,23.486932",公司企业;公司;冶金化工,澄海区,龙峰路(澄海区国驰货运配载中心西侧约160米),116.751142,23.486932
452,昊月纸塑玩具包装厂,"116.744332,23.488226",公司企业;公司;冶金化工,澄海区,广益街道龙田乡龙仙路5横8号,116.744332,23.488226
453,达成美吸塑厂,"116.798785,23.458221",公司企业;公司;冶金化工,澄海区,凤新二路中心路北16巷7号,116.798785,23.458221
454,汕头市澄海区荣裕工艺厂,"116.733467,23.473165",公司企业;公司;冶金化工,澄海区,澄华工业区源通工业园大门往里左侧大楼4楼,116.733467,23.473165
455,汕头市金丰利工艺厂,"116.740727,23.580319",公司企业;公司;冶金化工,澄海区,云路乡道,116.740727,23.580319
