,name,location,type,adname,address,X,Y
113,榕林毛织厂,"116.744864,23.446726",gongchang,龙湖区,金洲立交与G15沈海高速交叉口东南800米,116.744864,23.446726
114,三盈玩具厂,"116.740119,23.441614",gongchang,龙湖区,外砂镇迎宾北路,116.740119,23.441614
115,基宇玩具厂,"116.742926,23.438027",gongchang,龙湖区,陈厝合宁和街东和3巷2号,116.742926,23.438027
116,群盛毛织厂,"116.729951,23.446089",gongchang,龙湖区,迎宾北路与外砂迎宾路交叉口西200米,116.729951,23.446089
117,波波乐日用品厂,"116.772438,23.378119",gongchang,龙湖区,新溪镇西南村西南小学后面,116.772438,23.378119
118,汕头市星航玩具厂,"116.777025,23.375648",gongchang,龙湖区,新溪镇十一合村友谊路东侧101号,116.777025,23.375648
119,顺凯织造毛织厂,"116.748311,23.438957",gongchang,龙湖区,外砂迎宾路与蓬发路交叉口西北220米,116.748311,23.438957
120,韩依舍毛衫厂,"116.767469,23.437740",gongchang,龙湖区,外砂街道李厝新怡路三路二巷一号,116.767469,23.43774
121,潮谦食品厂,"116.785254,23.390438",gongchang,龙湖区,新溪镇东升村廿亩内荷花圆一巷4号,116.785254,23.390438
122,外砂烽泰副食品厂,"116.749041,23.427925",gongchang,龙湖区,龙头村大园工业区最里面一栋8层楼隔壁,116.749041,23.427925
123,意锋车厢厂,"116.787333,23.400192",gongchang,龙湖区,新溪街道六合村,116.787333,23.400192
124,汕头市栢丽毛织服饰,"116.734420,23.448516",gongchang,龙湖区,G78汕昆高速北200米,116.73442,23.448516
125,联业织造厂,"116.749085,23.439278",gongchang,龙湖区,外砂街道蓬中迎宾北路锦骏花园西50米,116.749085,23.439278
126,树彬工艺纸板厂,"116.781975,23.376943",gongchang,龙湖区,新溪镇十一合村中路南二十七巷二号,116.781975,23.376943
127,雅之婷毛织厂,"116.789108,23.402643",gongchang,龙湖区,新溪镇六合村合兴路北13巷7号,116.789108,23.402643
128,汕头市瑾依玉珊毛织厂,"116.749736,23.427307",gongchang,龙湖区,外砂镇凤美村老池底工业区3号3楼,116.749736,23.427307
129,勇鼎汇玩具厂,"116.752039,23.444291",gongchang,龙湖区,外砂街道外砂街道鸿博大厦,116.752039,23.444291
130,春平电脑机工厂,"116.744939,23.448607",gongchang,龙湖区,金州村,116.744939,23.448607
131,嘉利不锈钢剪压厂,"116.773323,23.377333",gongchang,龙湖区,新溪镇下十合村文英路(西南小学正门斜对面),116.773323,23.377333
132,正艺纸塑工艺厂,"116.751396,23.442969",gongchang,龙湖区,外砂林厝工业区,116.751396,23.442969
133,汕头欣裳毛衫织造厂,"116.748696,23.428703",gongchang,龙湖区,龙凤路与龙翔路交叉路口往西南约90米,116.748696,23.428703
134,致惠玩具工艺,"116.770344,23.410637",gongchang,龙湖区,北中村上牛埔,116.770344,23.410637
135,彬打毛厂,"116.716088,23.461360",gongchang,龙湖区,龙华街道大衙北盛工业区07号,116.716088,23.46136
136,创意雨蓬厂,"116.741430,23.424487",gongchang,龙湖区,外砂镇华埠村国道旁八坽五巷5号,116.74143,23.424487
137,毛衣刷毛订珠加工厂,"116.772862,23.416830",gongchang,龙湖区,新溪镇北中村北兴路尾,116.772862,23.41683
138,韩依品毛织厂,"116.743235,23.433940",gongchang,龙湖区,园林路南侧35号2楼,116.743235,23.43394
139,陇源注塑厂,"116.762384,23.443807",gongchang,龙湖区,外砂镇李厝村,116.762384,23.443807
140,雅达隆玩具厂,"116.772421,23.418868",gongchang,龙湖区,北兴路,116.772421,23.418868
141,王锦雄毛织厂,"116.729889,23.446622",gongchang,龙湖区,南社村工业区二路,116.729889,23.446622
