ID,name,location,type,adname,address,X,Y
133,中交路桥建设有限公司潮汕环县高速第14标项目经理部,"116.590711,23.301955",公司企业;公司;建筑公司,潮阳区,潮揭路,116.590711,23.301955
134,华域建设,"116.313125,23.273118",公司企业;公司;建筑公司,潮南区,沟湖陈店文化传媒有限公司10楼,116.313125,23.273118
135,华晟建设,"116.434997,23.242106",公司企业;公司;建筑公司,潮南区,广汕公路281号峡山邮政大楼,116.434997,23.242106
136,汕头市友泰工程建筑有限公司,"116.569895,23.201160",公司企业;公司;建筑公司,潮南区,井都镇凤光村凤光小学路口,116.569895,23.20116
137,汕头市溢恺建筑工程有限公司,"116.520752,23.136356",公司企业;公司;建筑公司,潮南区,井田公路与和惠公路交叉口东320米,116.520752,23.136356
138,汕头市诺鑫建筑装饰工程有限公司,"116.409135,23.252417",公司企业;公司;建筑公司,潮南区,峡山街道洋林桂园巷,116.409135,23.252417
139,广东创雅建设有限公司汕头分公司,"116.408044,23.251822",公司企业;公司;建筑公司,潮南区,汕头市潮南区嘉盛商贸城28幢04号楼401,116.408044,23.251822
140,新希望建筑劳务有限公司汕头办事处,"116.379139,23.262336",公司企业;公司;建筑公司,潮南区,港口路与西畔新厝十一巷交叉口南460米,116.379139,23.262336
141,广东长达建筑消防工程有限公司(陇田公司),"116.528825,23.124523",公司企业;公司;建筑公司,潮南区,陇田镇田三和惠公路东,116.528825,23.124523
142,广东博原建设工程有限公司项目部峡山大溪碧道工程项目,"116.451915,23.262360",公司企业;公司;建筑公司,潮南区,北环大道与朝晖路交叉口西北420米,116.451915,23.26236
143,广东长达建筑消防工程有限公司(潮南公司),"116.412077,23.242153",公司企业;公司;建筑公司,潮南区,金光南路65号,116.412077,23.242153
144,汕头市新光建设工程有限公司,"116.776345,23.464682",公司企业;公司;建筑公司|购物服务;家居建材市场;建材五金市场,澄海区,谷饶镇环城东路56号,116.776345,23.464682
145,建方装饰,"116.760835,23.462051",公司企业;公司;建筑公司,澄海区,金冠园2栋302,116.760835,23.462051
146,亿兆瓷砖(新店),"116.810997,23.549257",公司企业;公司;商业贸易|公司企业;公司;建筑公司|购物服务;家居建材市场;建材五金市场,澄海区,国道324侨联大厦亿兆瓷砖,116.810997,23.549257
147,天易古建筑,"116.774759,23.471480",公司企业;公司;建筑公司,澄海区,广益街道美新西一路与美新区一巷交界处,116.774759,23.47148
148,山里建筑,"116.745220,23.473463",公司企业;公司;建筑公司,澄海区,怀汉路尚尚格小筑7楼,116.74522,23.473463
149,中龙建设,"116.769502,23.473615",公司企业;公司;建筑公司,澄海区,振兴工业区61号,116.769502,23.473615
150,广东省创雅建设有限公司,"116.810192,23.537545",公司企业;公司;建筑公司,澄海区,金南南路,116.810192,23.537545
151,汕头市灿鑫建筑有限公司,"116.832466,23.467452",公司企业;公司;建筑公司,澄海区,金鸿公路与金成路交叉口南280米,116.832466,23.467452
152,汕头市顺达建筑有限公司,"116.776629,23.458484",公司企业;公司;建筑公司,澄海区,,116.776629,23.458484
153,澄轩建设,"116.780347,23.446425",公司企业;公司;建筑公司,澄海区,凤新一路益璟花园14号铺面,116.780347,23.446425
154,广东讯源建筑工程有限公司,"116.730808,23.469457",公司企业;公司;建筑公司,澄海区,文华南路凯荣门窗系统东南侧约240米,116.730808,23.469457
155,和氏建筑装饰工程有限公司,"116.762535,23.449442",公司企业;公司;建筑公司,澄海区,碧榕苑(红头船公园东南100米),116.762535,23.449442
156,港口建筑总公司广益工程处,"116.775570,23.473249",公司企业;公司;建筑公司,澄海区,美新路超智星大厦南侧约140米,116.77557,23.473249
157,港口建筑总公司十二工程队,"116.793294,23.456145",公司企业;公司;建筑公司,澄海区,凤新二路与信兴南二直路交叉路口西侧,116.793294,23.456145
158,汕头海逸建筑工程有限公司,"116.770571,23.465623",公司企业;公司;建筑公司,澄海区,北门直街与文化路交叉口东北40米,116.770571,23.465623
159,广东嵘博建筑工程有限公司,"116.760827,23.468629",公司企业;公司;建筑公司,澄海区,协和大厦1层,116.760827,23.468629
160,中永建筑工程有限公司,"116.760619,23.454495",公司企业;公司;建筑公司,澄海区,国道皇室对面,116.760619,23.454495
161,汕头市润寰建筑工程有限公司,"116.776502,23.462263",公司企业;公司;建筑公司,澄海区,寺后街迎晖园,116.776502,23.462263
162,汕头市泰一建筑工程有限公司,"116.738927,23.470528",公司企业;公司;建筑公司,澄海区,澄华街道下窖怀汉路西11片16号,116.738927,23.470528
163,汕头市亿昌建筑劳务有限公司,"116.780420,23.446587",公司企业;公司;建筑公司,澄海区,凤新一路协和工业园西北侧约30米,116.78042,23.446587
164,汕头市澄海区埔美建筑有限公司,"116.771771,23.472533",公司企业;公司;建筑公司,澄海区,中山北路直二横,116.771771,23.472533
165,港口建筑工程有限公司西门工程处,"116.760206,23.462551",公司企业;公司;建筑公司,澄海区,华泰12路汕头市公安局澄海分局澄华派出所北侧约100米,116.760206,23.462551
166,岭亭建筑工程公司莲下工程处,"116.801179,23.473207",公司企业;公司;建筑公司,澄海区,莲南路与汕北大道交叉路口往西北约270米,116.801179,23.473207
167,汕头市澄海区第二建筑工程公司,"116.820724,23.555491",公司企业;公司;建筑公司,澄海区,海角7号量贩式KTV(东河路南),116.820724,23.555491
168,北星轻钢房屋旅游别墅国家绿色装配式建筑澄海服务站,"116.796301,23.547113",公司企业;公司;建筑公司,澄海区,,116.796301,23.547113
169,汕头市邦泰建设工程,"117.035599,23.416944",公司企业;公司;建筑公司,南澳县,,117.035599,23.416944
170,建设工程有限,"117.035322,23.417217",公司企业;公司;建筑公司,南澳县,,117.035322,23.417217
