ID,name,location,type,adname,address,X,Y
70,荣祥机械,"116.703436,23.387184",公司企业;公司;机械电子,金平区,北墩村池南路11号北墩小学进步文具旁,116.703436,23.387184
71,新美吧电子,"116.706035,23.392433",公司企业;公司;机械电子,金平区,西弘路与华山北路交叉口东北160米,116.706035,23.392433
72,马西机械,"116.695509,23.399809",公司企业;公司;机械电子,金平区,马西中路,116.695509,23.399809
73,雅途机械有限公司,"116.695050,23.403054",公司企业;公司;机械电子,金平区,宝源工业区B1-3栋,116.69505,23.403054
74,新创机械,"116.680795,23.403587",公司企业;公司;机械电子,金平区,潮阳路1号柏亚产业园区栋,116.680795,23.403587
75,佳塑机械,"116.638086,23.388486",公司企业;公司;机械电子,金平区,玉井居委鮀济南路171号-阿忠电机后面厂房,116.638086,23.388486
76,新艺机械有限公司,"116.688634,23.406500",公司企业;公司;机械电子,金平区,岐山街道西陇工业区南侧4座,116.688634,23.4065
77,大自然机械,"116.661355,23.403200",公司企业;公司;机械电子,金平区,金陇南路,116.661355,23.4032
78,鸿洋机械设备有限公司,"116.649844,23.405914",公司企业;公司;机械电子,金平区,大学路227号,116.649844,23.405914
79,宇硕机械,"116.695272,23.416400",公司企业;公司;机械电子,金平区,,116.695272,23.4164
80,吉鑫机械,"116.667128,23.421021",公司企业;公司;机械电子,金平区,西街与北街交叉口西南320米,116.667128,23.421021
81,汕头市恒发印刷机械有限公司,"116.679966,23.404124",公司企业;公司;机械电子,金平区,柏亚产业园2栋1号楼501房,116.679966,23.404124
82,汕头公路材料机械公司,"116.677206,23.378933",公司企业;公司;机械电子,金平区,大学路10号,116.677206,23.378933
83,庚泰电气,"116.665015,23.399952",公司企业;公司;机械电子,金平区,金平民营科技园金升六路,116.665015,23.399952
84,汕头市雄锟机械有限公司,"116.687558,23.372711",公司企业;公司;机械电子,金平区,护堤路36号,116.687558,23.372711
85,中创机械,"116.689555,23.430693",公司企业;公司;机械电子,金平区,潮汕路月浦龙兴工业园西侧厂房1号之一,116.689555,23.430693
86,汕头市骏诚机械有限公司,"116.666211,23.388755",公司企业;公司;机械电子,金平区,大学路81号同建工业区,116.666211,23.388755
87,集祥传动机械有限公司,"116.695995,23.392305",公司企业;公司;机械电子,金平区,护堤路123号,116.695995,23.392305
88,华行机械,"116.68483,23.407321",公司企业;公司;机械电子,金平区,潮华路阳光花园西侧约90米,116.68483,23.407321
89,昆士达机械,"116.689199,23.406947",公司企业;公司;机械电子,金平区,西陇工业区南侧2号,116.689199,23.406947
90,德盛机械,"116.688583,23.398801",公司企业;公司;机械电子,金平区,S233潮汕路(新华工业区内),116.688583,23.398801
91,阿德沃机械,"116.714070,23.406686",公司企业;公司;机械电子,金平区,汕樟路北浮东蔡厝洋片28号之1,116.71407,23.406686
92,汕头市精鑫包装机械有限公司,"116.684425,23.382874",公司企业;公司;机械电子|购物服务;专卖店;专营店,金平区,木薯路20号,116.684425,23.382874
93,汕头市航润机械有限公司,"116.646898,23.410829",公司企业;公司;机械电子,金平区,西程路33号厂房12号之2,116.646898,23.410829
94,汕头市华南机械有限公司,"116.644745,23.407946",公司企业;公司;机械电子,金平区,汕头市鮀江街道西埕工业区岩前路6号,116.644745,23.407946
95,汕头市众壹机械有限公司,"116.694412,23.423509",公司企业;公司;机械电子,金平区,月浦街道围子角中路五号,116.694412,23.423509
96,力森机械,"116.695938,23.404939",公司企业;公司;机械电子,金平区,宝源工业区B9栋,116.695938,23.404939
97,汕头市光华机械实业有限公司,"116.672333,23.367173",公司企业;公司;机械电子,金平区,光华路42号,116.672333,23.367173
98,欧迈威机械有限公司,"116.678091,23.405521",公司企业;公司;机械电子,金平区,民营科技园潮阳路38号,116.678091,23.405521
99,长信机械,"116.684092,23.393118",公司企业;公司;机械电子,金平区,潮汕路117号,116.684092,23.393118
100,乔新机械有限公司,"116.674379,23.432463",公司企业;公司;机械电子,金平区,沟南下尾铺汕揭公路56号,116.674379,23.432463
101,伊立机械,"116.694696,23.402940",公司企业;公司;机械电子,金平区,岐山街道潮汕路宝源工业区A1栋,116.694696,23.40294
102,金兰机械,"116.702065,23.392072",公司企业;公司;机械电子,金平区,,116.702065,23.392072
103,汕头市陀斯包装机械有限公司,"116.675597,23.389686",公司企业;公司;机械电子,金平区,潮汕路金园工业区金味集团南侧附近,116.675597,23.389686
104,汕头市砼顺工程机械设备有限公司,"116.675077,23.385432",公司企业;公司;机械电子,金平区,金凤路6号之5,116.675077,23.385432
105,新创机械,"116.685820,23.407079",公司企业;公司;机械电子,金平区,潮汕路阳光花园西南侧约70米,116.68582,23.407079
106,精科机械,"116.655419,23.399605",公司企业;公司;机械电子,金平区,溪东新校路与溪中路交叉口东北约40米,116.655419,23.399605
107,博川机械,"116.69219,23.431144",公司企业;公司;机械电子,金平区,潮汕路月浦路段龙兴工业区共青路3号之一,116.69219,23.431144
108,汕头超声显示器有限公司,"116.706647,23.372370",公司企业;公司;机械电子,金平区,金东街道兴业路21号超声显示器股份有限公司,116.706647,23.37237
109,汕头市工业设备安装工程总公司,"116.691364,23.367268",公司企业;公司;机械电子,金平区,金华街锦碧豪轩,116.691364,23.367268
110,广东亿点机械科技有限公司,"116.692499,23.396479",公司企业;公司;机械电子,金平区,岐山街道寨头内围工业区,116.692499,23.396479
111,汕头市廣美机械有限公司,"116.692395,23.419604",公司企业;公司;机械电子,金平区,潮汕路月华工业区二号之四,116.692395,23.419604
112,汕头市中冠机械有限公司,"116.697917,23.408842",公司企业;公司;机械电子,金平区,水利路中段,116.697917,23.408842
113,汕头市奥美亚机械有限公司,"116.692243,23.396393",公司企业;公司;机械电子,金平区,岐山街道寨头内围工业区四号,116.692243,23.396393
114,汕头市南墩机械有限公司,"116.675223,23.391575",公司企业;公司;机械电子,金平区,金园工业城5b一片区,116.675223,23.391575
115,汕头市嘉伟博机械有限公司,"116.660625,23.407769",公司企业;公司;机械电子,金平区,鮀江街道金业路3号,116.660625,23.407769
116,汕头市大威塑胶机械有限公司,"116.667990,23.394691",公司企业;公司;机械电子,金平区,金兴路200号,116.66799,23.394691
117,汕头峻腾矿山机械有限公司,"116.643060,23.407155",公司企业;公司;机械电子,金平区,大学路南侧青春片长春路1号内1层10-11档,116.64306,23.407155
118,汕头市江源电子有限公司,"116.661825,23.400890",公司企业;公司;机械电子,金平区,升平工业区金升八路12号,116.661825,23.40089
119,汕头市凌奥机械设备有限公司,"116.694279,23.389838",公司企业;公司;机械电子,金平区,护堤路150号之12,116.694279,23.389838
120,汕头市盛辉机械设备有限公司,"116.704082,23.390804",公司企业;公司;机械电子,金平区,华山北路浮西工业区,116.704082,23.390804
121,汕头凯俊达工程机械有限公司,"116.678725,23.406554",公司企业;公司;机械电子,金平区,月浦街道澄海路与潮阳路交叉口,116.678725,23.406554
122,汕头市三龙精密机械有限公司,"116.698128,23.404948",公司企业;公司;机械电子,金平区,护堤路206号,116.698128,23.404948
123,汕头市华晨机械设备有限公司,"116.642399,23.395664",公司企业;公司;机械电子,金平区,鮀济南路电台路1号,116.642399,23.395664
124,汕头市金诚塑胶机械有限公司,"116.622164,23.372240",公司企业;公司;机械电子,金平区,X071(鮀济南路),116.622164,23.37224
125,汕头市洪泰兴机械厂有限公司,"116.685133,23.412284",公司企业;公司;机械电子,金平区,揭阳路花木市场对面,116.685133,23.412284
126,汕头市建鸿机械科技有限公司,"116.592348,23.410972",公司企业;公司;机械电子,金平区,鮀莲街道莲塘灰窑工业区,116.592348,23.410972
127,汕头市盟邦包装机械有限公司,"116.592482,23.410881",公司企业;公司;机械电子,金平区,鮀莲街道莲塘村,116.592482,23.410881
128,汕头市斯耐特机械有限公司,"116.689147,23.406758",公司企业;公司;机械电子,金平区,潮汕路189号阳光花园正对面,116.689147,23.406758
129,广东和胜机械实业有限公司,"116.691428,23.429773",公司企业;公司;机械电子,金平区,龙兴工业园(共青路),116.691428,23.429773
130,汕头市金园区永通机电有限公司,"116.694736,23.377918",公司企业;公司;机械电子,金平区,金丰路阀门厂住宅楼,116.694736,23.377918
131,汕头市凹凸包装机械有限公司(尚悦轩东南),"116.687806,23.406681",公司企业;公司;机械电子,金平区,潮汕路186号附近,116.687806,23.406681
132,汕头市亿力机械设备有限公司(金升二路),"116.665008,23.389889",公司企业;公司;机械电子,金平区,升平工业区金升二路5号,116.665008,23.389889
133,广东省汕头市煜丰机械有限公司,"116.686204,23.392634",公司企业;公司;机械电子,金平区,潮汕路岐山南楼六号,116.686204,23.392634
134,广东省汕头市机械工业供销公司,"116.696866,23.362834",公司企业;公司;机械电子,金平区,金陵路22号,116.696866,23.362834
135,汕头意润机器厂有限公司,"116.664665,23.398926",公司企业;公司;机械电子,金平区,升业路与金环西路交汇处意润大厦,116.664665,23.398926
136,广东汕头市杨戈机械有限公司,"116.673526,23.392017",公司企业;公司;机械电子,金平区,潮汕路金园工业城金兴路7B5-1,116.673526,23.392017
137,金兰机械,"116.681378,23.254347",公司企业;公司;机械电子,濠江区,台横五路与台纵二路交汇处,116.681378,23.254347
138,汕头轻工机械厂有限公司,"116.683074,23.25525",公司企业;公司;机械电子,濠江区,台商投资区台纵二路,116.683074,23.25525
139,汕头市煌星机电有限公司,"116.731032,23.283423",公司企业;公司;机械电子,濠江区,大兴街7号,116.731032,23.283423
140,汕头市旭晋天泰机械有限公司,"116.678939,23.262098",公司企业;公司;机械电子,濠江区,玉新街道创新路1号,116.678939,23.262098
141,丰利达电子公司,"116.462516,23.241524",公司企业;公司;机械电子,潮阳区,和平镇紫中路如意购物西450米,116.462516,23.241524
142,平盛电子,"116.341034,23.300814",公司企业;公司;机械电子,潮阳区,贵屿镇陈贵公路平盛工业园,116.341034,23.300814
143,广东轻工机械二厂有限公司,"116.578156,23.255124",公司企业;公司;机械电子,潮阳区,福昆线西丽园西南侧约230米,116.578156,23.255124
144,赛洋电子,"116.431354,23.313478",公司企业;公司;机械电子,潮阳区,铜盂镇河陇村一片路华龙购物东北,116.431354,23.313478
145,振业机电,"116.481182,23.263927",公司企业;公司;机械电子,潮阳区,平新路铭星实验学校东侧约190米,116.481182,23.263927
146,新丰机械,"116.574285,23.253855",公司企业;公司;机械电子,潮阳区,文光街道古帅路段(中国石油对面),116.574285,23.253855
147,源豪机电,"116.392149,23.313082",公司企业;公司;机械电子,潮阳区,铜盂镇北港路宅美桥头往北150米,116.392149,23.313082
148,泉州恒烨机械有限公司,"116.425637,23.323434",公司企业;公司;机械电子,潮阳区,谷贵路(鸿昌化纤),116.425637,23.323434
149,庆升电子,"116.356390,23.311621",公司企业;公司;机械电子,潮阳区,华美乡华集五路161-163号,116.35639,23.311621
150,晨旭电子(汕头办事处),"116.405425,23.359168",公司企业;公司;机械电子,潮阳区,惠民路东明菜市场西侧约100米,116.405425,23.359168
151,科源织带机械,"116.487734,23.267262",公司企业;公司;机械电子,潮阳区,星光路潮阳市金纤实业公司,116.487734,23.267262
152,汕头市德利模具机械设备厂,"116.424960,23.346708",公司企业;公司;机械电子,潮阳区,谷丰路,116.42496,23.346708
153,汕头市和泰电子制造有限公司,"116.609304,23.245349",公司企业;公司;机械电子,潮阳区,潮海路茂森整木定制西侧约80米,116.609304,23.245349
154,酷声电子厂,"116.400293,23.361696",公司企业;公司;机械电子,潮阳区,谷饶镇横山村,116.400293,23.361696
155,弘达合胜化妆品机械有限公司,"116.470020,23.252798",公司企业;公司;机械电子,潮阳区,和平镇和平九斗洋工业区,116.47002,23.252798
156,汕头市中旺电子有限公司,"116.413742,23.335164",公司企业;公司;机械电子,潮阳区,谷饶镇华光工业区桂香园A4栋,116.413742,23.335164
157,汕头市振盛电子科技有限公司,"116.368100,23.324417",公司企业;公司;机械电子,潮阳区,贵屿镇循环经济产业园,116.3681,23.324417
158,佛山市佰佳诚电子产品有限公司,"116.361591,23.362754",公司企业;公司;机械电子,潮阳区,贵屿镇,116.361591,23.362754
159,汕头市潮阳区新华生电子厂,"116.405828,23.362757",公司企业;公司;机械电子,潮阳区,横山村1号,116.405828,23.362757
160,汕头市伟达电子实业有限公司,"116.403249,23.361463",公司企业;公司;机械电子,潮阳区,谷饶镇横山工业区(横山村委会西侧),116.403249,23.361463
161,汕头市腾佳电子实业有限公司,"116.403841,23.362283",公司企业;公司;机械电子,潮阳区,谷饶镇雅丽购物西南100米,116.403841,23.362283
162,汕头市雅思特电子科技有限公司,"116.506205,23.216722",公司企业;公司;机械电子,潮阳区,和平镇五和居委会东210米,116.506205,23.216722
163,振雄塑料机械工业品有限公司,"116.481039,23.263321",公司企业;公司;机械电子,潮阳区,324国道附近,116.481039,23.263321
164,汕头市华讯电子,"116.393774,23.284218",公司企业;公司;机械电子,潮南区,司马浦下方工业区,116.393774,23.284218
165,索音电子,"116.416962,23.272372",公司企业;公司;机械电子,潮南区,峡山北环大道科技工业园4-01B,116.416962,23.272372
166,万信机电,"116.444598,23.245301",公司企业;公司;机械电子,潮南区,东晖路109号,116.444598,23.245301
167,奇发电子,"116.326575,23.269394",购物服务;家电电子卖场;数码电子|公司企业;公司;机械电子,潮南区,陈店电子城南街22号,116.326575,23.269394
168,浙江精益机械,"116.424993,23.249410",公司企业;公司;机械电子,潮南区,金光路与环美路交叉口东160米,116.424993,23.24941
169,泉州烨宏精密机械,"116.406603,23.252312",公司企业;公司;机械电子,潮南区,峡山324国道洋林路段1253号,116.406603,23.252312
170,鑫诚隆机械有限公司,"116.407937,23.253729",公司企业;公司;机械电子,潮南区,城美路9巷大和画业30米,116.407937,23.253729
171,潮南益新电子,"116.353347,23.276423",公司企业;公司;机械电子,潮南区,,116.353347,23.276423
172,广东群星机械,"116.316568,23.262719",公司企业;公司;机械电子,潮南区,陈店镇陈仙路里美内衣旁,116.316568,23.262719
173,小圆满电子,"116.470738,23.228836",公司企业;公司;机械电子,潮南区,胪岗镇新和惠公路和平里美工业区南,116.470738,23.228836
174,新华雄电子,"116.342040,23.274597",公司企业;公司;机械电子,潮南区,司马浦镇溪美朱林兜村高新路,116.34204,23.274597
175,粤威电子,"116.345134,23.272876",公司企业;公司;机械电子,潮南区,祥隆街信德建材家居城北侧约240米,116.345134,23.272876
176,圣达安电子,"116.327035,23.270134",公司企业;公司;机械电子,潮南区,陈店镇粤东电子城A337号,116.327035,23.270134
177,汕头市德杰电子有限公司,"116.370258,23.225089",公司企业;公司;机械电子,潮南区,两英镇陈库新兴路,116.370258,23.225089
178,汕头市蓝力盈电子实业有限公司,"116.356149,23.255607",公司企业;公司;机械电子,潮南区,,116.356149,23.255607
179,汕头市粤东联丰电子实业有限公司,"116.515259,23.134156",公司企业;公司;机械电子,潮南区,陇田镇田心联丰工业城,116.515259,23.134156
180,广东大上科电子科技有限公司,"116.340216,23.280905",公司企业;公司;机械电子,潮南区,陈店镇范溪村范溪工业区内,116.340216,23.280905
181,汕头荣兴印刷机械设备有限公司,"116.449974,23.243856",公司企业;公司;机械电子,潮南区,胪岗镇交警大队前面,116.449974,23.243856
182,精睿电子,"116.789539,23.447454",公司企业;公司;机械电子,澄海区,凤新二路与凤业二路交叉路口往东南约260米,116.789539,23.447454
183,卓优电子,"116.851367,23.590017",公司企业;公司;机械电子,澄海区,盐鸿镇春天湖工业区,116.851367,23.590017
184,中芯电子(中山北路),"116.772020,23.473654",公司企业;公司;机械电子,澄海区,中山北路10号,116.77202,23.473654
185,伟达塑机,"116.716059,23.529779",公司企业;公司;机械电子,澄海区,上华镇蔡厝澄海公路德基商场北300米,116.716059,23.529779
186,汕头市锢灵机械有限公司,"116.732890,23.482608",公司企业;公司;机械电子|购物服务;专卖店;专营店,澄海区,澄华冠山兴华路兴华中对面,116.73289,23.482608
