ID,name,location,type,adname,address,X,Y
1974,臭嘟嘟玩具厂,"116.761895,23.466204",公司企业;工厂;工厂,澄海区,振新路工业区8号,116.761895,23.466204
1975,新力坊玩具厂,"116.735462,23.466378",公司企业;工厂;工厂,澄海区,澄华路与沈海高速交叉口往西北约100米新佳东园1路5号8楼,116.735462,23.466378
1976,安发毛衫生产厂,"116.784108,23.453352",公司企业;工厂;工厂,澄海区,定安路莲角池片一巷一号,116.784108,23.453352
1977,莫塔尔玩具厂,"116.726782,23.484333",公司企业;工厂;工厂,澄海区,毓仙路与毓秀路交叉口西180米,116.726782,23.484333
1978,沐鱼橡胶,"116.758293,23.458016",公司企业;工厂;工厂,澄海区,岭亭海关后江夏对面8号,116.758293,23.458016
1979,轶奥协吨侮玩具厂,"116.768143,23.470627",公司企业;工厂;工厂,澄海区,港厦路三横,116.768143,23.470627
1980,超越玩具,"116.785395,23.455930",公司企业;工厂;工厂,澄海区,凤翔街道凤新一路昆美田兴4路,116.785395,23.45593
1981,善远毛织厂,"116.818232,23.413093",公司企业;工厂;工厂,澄海区,南港村,116.818232,23.413093
1982,众顺注塑厂,"116.802246,23.442715",公司企业;工厂;工厂,澄海区,澄海区莱美工业区安胜玩具有限公司楼下,116.802246,23.442715
1983,星之谷玩具厂,"116.782402,23.445438",公司企业;工厂;工厂,澄海区,S336(莱美路),116.782402,23.445438
1984,华信塑料模具厂二厂,"116.800289,23.441264",公司企业;工厂;工厂,澄海区,兴业西二路1号,116.800289,23.441264
1985,腾晖玩具厂,"116.790537,23.454096",公司企业;工厂;工厂,澄海区,凤业一路,116.790537,23.454096
1986,精睿电子厂,"116.768070,23.471392",公司企业;工厂;工厂,澄海区,埔美工业区港厦路泽锋印业3楼,116.76807,23.471392
1987,杰杰分仓,"116.774819,23.450390",公司企业;工厂;工厂,澄海区,陆凤路与谭厝沟路交叉口东南80米,116.774819,23.45039
1988,列山玩具厂,"116.781430,23.451623",公司企业;工厂;工厂,澄海区,凤翔街道定安路南四巷三号,116.78143,23.451623
1989,都宝塑胶玩具有限公司,"116.788119,23.446138",公司企业;工厂;工厂,澄海区,凤翔街道凤业三路路尾,116.788119,23.446138
1990,鹏奇玩具厂,"116.785363,23.462944",公司企业;工厂;工厂,澄海区,侨兴路东一巷四号,116.785363,23.462944
1991,汇恩泰玩具厂,"116.779781,23.466828",公司企业;工厂;工厂,澄海区,东湖工业大道26号,116.779781,23.466828
1992,乐依儿玩具厂,"116.770047,23.474431",公司企业;工厂;工厂,澄海区,振兴路澄海区塑料城南侧约180米,116.770047,23.474431
1993,晨盛玩具厂,"116.778762,23.469334",公司企业;工厂;工厂,澄海区,凤翔街道东湖工业区东湖秀水十巷2号,116.778762,23.469334
1994,小年二料厂,"116.750169,23.485377",公司企业;工厂;工厂,澄海区,广益街道龙田顶宫路东七横号,116.750169,23.485377
1995,新彰玩具厂,"116.787660,23.450321",公司企业;工厂;工厂,澄海区,凤新二路与秀水路交叉口西南150米,116.78766,23.450321
1996,美生工艺玩具厂,"116.783883,23.447489",公司企业;工厂;工厂,澄海区,旭乐路南八巷与田兴五路交叉口西南约40米,116.783883,23.447489
1997,澄海外埔日用工艺厂,"116.787776,23.463462",公司企业;工厂;工厂,澄海区,关脚路与东圆路交叉口东160米,116.787776,23.463462
1998,龙德毛织厂,"116.747224,23.476767",公司企业;工厂;工厂,澄海区,广益街道龙田中片二横11号,116.747224,23.476767
1999,华诺玩具厂,"116.800327,23.455710",公司企业;工厂;工厂,澄海区,信东路景泰2层,116.800327,23.45571
2000,星堡玩具厂,"116.775201,23.473419",公司企业;工厂;工厂,澄海区,美新西一路12巷18号,116.775201,23.473419
2001,汉普五金厂,"116.764875,23.480104",公司企业;工厂;工厂,澄海区,上窖沙田工业区浩源一楼,116.764875,23.480104
