lon_84,lat_84,name,type
116.7742936,23.38763925,亿丽手袋厂,gongchang
116.7486257,23.36787704,广东汕头金石制药总厂,gongchang
116.7472701,23.44516772,华隆玩具厂,gongchang
116.7183247,23.45992604,梓桂纸品厂,gongchang
116.7456096,23.44652452,钟艺彩印厂,gongchang
116.7120454,23.45911597,鑫达毛织厂,gongchang
116.775876,23.39850103,汕头龙湖区素舒尔服装厂,gongchang
116.7457074,23.43235319,汕头市新航服饰有限公司,gongchang
116.7471272,23.44370488,依琳格织造厂,gongchang
116.7437529,23.43834852,天织毛衣厂,gongchang
116.7407089,23.44707692,绿缘毛衫,gongchang
116.7644997,23.44230468,汕头市雅奇毛织有限公司,gongchang
116.7438616,23.44204908,兴运织造厂,gongchang
116.7420986,23.37786613,汕头市龙湖区广胜电子厂,gongchang
116.7825327,23.40093048,永汉副食品厂,gongchang
116.7350592,23.42523824,粤东机械木箱厂华埠工业区店,gongchang
116.7112914,23.38570305,汕头市华源自动化控制设备成套厂,gongchang
116.7302084,23.39671297,汕头市龙湖区阿强服饰厂,gongchang
116.7265607,23.39100631,汕头市欧侨服饰有限公司,gongchang
116.7204828,23.38193392,和盛文体用品厂,gongchang
116.7106108,23.42811019,广东瑞德生物科技有限公司,gongchang
116.7406353,23.44056167,汕头市龙湖区壹曼毛织厂,gongchang
116.7572724,23.39253376,汕头信乐文具礼品有限公司,gongchang
116.7595282,23.44566127,汕头市龙湖区锦隆毛织厂,gongchang
116.7605666,23.41204222,汕头市龙湖区大润工艺厂,gongchang
116.7113129,23.42375492,汕头市龙湖区康迪隆食品厂,gongchang
116.757675,23.44423152,汕头市龙湖区亿贝玩具厂,gongchang
116.7416698,23.4396766,汕头市海慧服饰有限公司,gongchang
116.7044669,23.45587612,汕头市龙湖区博派纸箱厂,gongchang
116.7579318,23.41710412,汕头市龙湖区盈荣毛织厂,gongchang
116.7533961,23.38163832,汕头经济特区鮀滨制药厂,gongchang
116.7473389,23.40137375,汕头新寄托五金塑胶制品有限公司,gongchang
116.740196,23.43431151,富达毛衫公司,gongchang
116.731883,23.39464141,汕头市喜悦健康食品有限公司,gongchang
116.7284045,23.3930467,汕头市金平区莱雪莉制衣厂,gongchang
116.7189957,23.4608313,汕头市龙湖区宏再发毛织厂,gongchang
116.6969856,23.42256623,汕头市金和枥工贸有限公司,gongchang
116.7316124,23.45257861,汕头市龙湖区鑫宏隆毛织厂,gongchang
116.722195,23.45205122,世家服饰有限公司第一分厂,gongchang
116.7165658,23.40593662,汕头市信音电子科技有限公司,gongchang
116.755337,23.41281968,汕头市耀发钢化玻璃有限公司,gongchang
116.7452773,23.43702661,长丰毛织厂,gongchang
116.713153,23.3758907,汕头市摩高纺织绣品有限公司,gongchang
116.7154418,23.44681335,汕头市龙湖区下蓬裕兴食品厂,gongchang
116.7316975,23.37392033,汕头市龙湖区强华包装制罐厂,gongchang
116.7126038,23.42350542,汕头市润轩洗涤用品有限公司,gongchang
116.7104677,23.44825297,汕头市龙湖区尊尚家具加工厂,gongchang
116.7524594,23.39321796,汕头市龙湖区峰诺电子加工厂,gongchang
116.7460527,23.42681891,汕头市龙湖区外砂街道凤美工业区雅衣达服饰,gongchang
116.7441628,23.4358378,汕头市龙湖区外砂建发织造厂,gongchang
116.7255,23.38906543,汕头市龙湖区合兴泰米面制品厂,gongchang
116.7482924,23.39005677,新双鸿纸品厂,gongchang
116.7337104,23.42339806,石益达石业,gongchang
116.7338613,23.42354198,城龙输送机厂,gongchang
116.7073731,23.44798796,雅园乳品厂,gongchang
116.7231894,23.45714488,汕头外砂富新织造厂,gongchang
116.7568451,23.39581501,汕头市龙湖区东岚毛织品加工厂,gongchang
116.7350322,23.42529124,汕头市龙湖区外砂粤大木箱托盘厂,gongchang
116.7115089,23.43377337,汕头启宏实业包装有限公司3号仓,gongchang
116.769972,23.37023043,万城装饰大型激光切割剪压板铜门不锈钢工程,gongchang
116.7880194,23.3865164,阿聪,gongchang
116.7545874,23.39142391,汕头市锐宝工艺装饰画相框加工厂,gongchang
116.6969387,23.42246531,汕头市龙湖区添泓塑胶制品有限公司,gongchang
116.7552691,23.36505921,创科电子厂,gongchang
116.7485394,23.435158,和美毛衣工艺织造厂,gongchang
116.7678317,23.40383651,派兰特毛衫,gongchang
116.734672,23.40216484,汕头市龙湖区超耐粘合剂加工厂(固鼎防水建材),gongchang
116.7457334,23.41714725,广东巨邦文化创意有限公司,gongchang
116.7398022,23.44964584,滙盛织造厂,gongchang
116.7204828,23.38193392,升平区中山塑胶制品厂,gongchang
116.7537853,23.36156744,中铁十四局集团有限公司汕汕铁路站前六标项目部钢筋加工场,gongchang
116.7259175,23.42032211,丰盛电力(集团)投资有限公司汕特燃机电厂,gongchang
116.7500372,23.43187362,汕头市龙湖区蓬艺印刷厂,gongchang
116.6666071,23.36844933,汕头家具厂,gongchang
116.6571967,23.40608838,成业,gongchang
116.6891696,23.35619005,汕头市棉制品厂,gongchang
116.6898924,23.38065283,汕头市阀门厂,gongchang
116.6956372,23.3799204,汕头机械(集团)宏达电器厂,gongchang
116.6887246,23.35590389,汕头市石雕厂,gongchang
116.7008458,23.37904947,汕头市公路局机械修配厂,gongchang
116.6716335,23.37889666,汕头肥皂厂,gongchang
116.6497396,23.39131654,欣华包装机械有限公司,gongchang
116.6967182,23.39139157,汕头市塑料五厂,gongchang
116.688856,23.37533665,汕头玻璃厂,gongchang
116.6725784,23.39247137,诚辉热收缩膜厂,gongchang
116.6839249,23.37717604,汕头市大窖通用设备厂,gongchang
116.6962892,23.35957446,汕头市南方开关厂,gongchang
116.6879021,23.37508936,汕头建筑材料厂,gongchang
116.6544966,23.41112862,金富丽家具厂,gongchang
116.677589,23.38650996,合顺不锈钢,gongchang
116.6963162,23.35848065,汕头市电工设备厂,gongchang
116.6855024,23.40679899,芸妈妈手工作坊,gongchang
116.6682267,23.36103377,汕头市医疗器械二厂,gongchang
116.6710224,23.37142329,汕头市东风发电设备厂,gongchang
116.6840802,23.39883285,方源玻璃厂,gongchang
116.6754533,23.38204181,华翔筛网,gongchang
116.6672892,23.37150741,姚东五金塑料加工场,gongchang
116.6928469,23.39826768,和得全屋定制工厂,gongchang
116.6958328,23.37994708,汕头机械(集团)公司精艺机械厂,gongchang
116.6965868,23.37196642,汕头机械厂,gongchang
116.685005,23.38470667,机械零件加工维修,gongchang
116.653711,23.41705819,艾依嘉全屋定制工厂,gongchang
116.639384,23.39854694,深源石材厂,gongchang
116.692671,23.40168441,大盛厂房,gongchang
116.6893958,23.39127874,汕头市丰源包装材料厂,gongchang
116.7169439,23.39627082,新融丰化工,gongchang
116.5952785,23.44459723,汕头市特种废弃物处理中心,gongchang
116.6873889,23.42746165,糖田米田,gongchang
116.6605952,23.35319504,汕头市香料厂,gongchang
116.6993159,23.36219717,春晖服装辅料厂,gongchang
116.6738778,23.35293174,崇熙-圣尔诺服饰,gongchang
116.6911818,23.36241627,汕头市教学仪器厂,gongchang
116.6698729,23.37416194,汕头市互感器厂,gongchang
116.6834734,23.38571525,丽华五金设备厂,gongchang
116.687444,23.39246594,数控车床厂,gongchang
116.6993925,23.3804404,建鐽石板厂,gongchang
116.6809108,23.37824333,鸿达电热仪表,gongchang
116.6874446,23.38336258,金吉隆五金塑胶加工场,gongchang
116.6729532,23.39626,宏生(金兴二路),gongchang
116.673265,23.35689604,市文具厂,gongchang
116.6956566,23.35718998,汕头市红街电器厂,gongchang
116.6706332,23.37381655,国平包装印刷厂,gongchang
116.6678184,23.36562759,汕头酱油厂,gongchang
116.6882579,23.36591158,汕头市羽毛球厂,gongchang
116.685307,23.4051756,广东荣诚食品有限公司,gongchang
116.6757501,23.37359687,汕头市二轻机械厂,gongchang
116.6957534,23.35723182,汕头市红卫电器厂,gongchang
116.6933142,23.40850625,启航机械厂,gongchang
116.6597582,23.35270973,鸿鑫制冰厂,gongchang
116.6690698,23.37533825,汕头市集祥减速机厂,gongchang
116.6350458,23.39343356,鮀新酒厂,gongchang
116.6959425,23.38021885,汕头市动美机械厂,gongchang
116.69174,23.35534285,汕头市冷冻厂,gongchang
116.671917,23.37539379,汕头市吉祥印刷厂,gongchang
116.6927988,23.40053138,汕头气体厂,gongchang
116.6563769,23.40191259,广东艾美塑胶有限公司,gongchang
116.6854218,23.38909412,汕头市腾艺塑胶厂,gongchang
116.6538119,23.39884285,汕头市广丰车厢厂,gongchang
116.6736938,23.39099851,宝泰模钢,gongchang
116.7066311,23.37657073,金港泡沫厂(金湖路),gongchang
116.6715893,23.38260804,汕头制钉厂,gongchang
116.673864,23.38218679,启力机械厂,gongchang
116.6798742,23.39336848,欧斯特机械厂,gongchang
116.6884457,23.39414289,众兴软包装机械厂,gongchang
116.6872667,23.38765911,广宏硅胶,gongchang
116.6842677,23.39983134,印象派机械厂,gongchang
116.7087115,23.37424145,天莹服装厂,gongchang
116.6721236,23.37492149,汕佳胶辊实业,gongchang
116.6737636,23.37588918,汕头市鸿發纸塑加工厂,gongchang
116.6654625,23.38767883,汕头市鹰二机械厂,gongchang
116.6699726,23.37571245,利成机械,gongchang
116.6826053,23.38671864,金贝服装厂,gongchang
116.6821625,23.39911928,双兴塑胶模具厂,gongchang
116.6825378,23.38203063,胜一五金模具加工厂,gongchang
116.6708466,23.39015608,汕头市油缸厂,gongchang
116.6701692,23.39075927,金能机械科技有限公司,gongchang
116.6745688,23.39098885,迅力工艺经营部,gongchang
116.6729267,23.38986317,航宇玻璃制品厂,gongchang
116.6885077,23.3917522,三石模具加工厂,gongchang
116.6871775,23.39464403,东凡数控有限公司,gongchang
116.6834469,23.39502764,汕头新茂业塑胶加工,gongchang
116.7075037,23.3738401,广之益电脑绣花厂,gongchang
116.6767791,23.39833141,鸿鑫五金厂,gongchang
116.6598413,23.39529219,利丰机绣厂,gongchang
116.6820288,23.39932849,阿彬塑料制品厂,gongchang
116.6836104,23.39676405,杰兴模具五金加工厂,gongchang
116.6844591,23.38658331,润凯塑胶厂,gongchang
116.6883371,23.39138356,雄裕塑胶制品厂,gongchang
116.692671,23.40168441,同利鞋厂,gongchang
116.6594359,23.40020413,金元塑料模具厂,gongchang
116.6835573,23.39977364,模具陈志辉工场,gongchang
116.6877865,23.40380843,新百汇风管厂,gongchang
116.6665968,23.40394687,猛龙过江塑料板,gongchang
116.6847226,23.40015247,龙馨纸品厂,gongchang
116.708446,23.37415981,连盟制衣,gongchang
116.6820829,23.39589298,博涵塑胶制品厂,gongchang
116.6979546,23.39298634,广跃五金工艺厂,gongchang
116.7023456,23.39839378,酷特宝玩具厂,gongchang
116.6793245,23.40813406,众大印刷厂,gongchang
116.6584389,23.40497323,虹达日用塑料制品厂,gongchang
116.7014071,23.40319037,丰源塑料制品厂,gongchang
116.6595991,23.40611486,新长兴洗水厂,gongchang
116.6485014,23.38998599,汕头市利山印刷厂,gongchang
116.7103103,23.39669331,不锈钢厨具工厂,gongchang
116.6917934,23.40922368,安鑫金属结构加工场,gongchang
116.6894356,23.39203854,金鑫真空热处理,gongchang
116.6815593,23.39361333,汕头市.嘉创塑胶模具,gongchang
116.6636403,23.41087543,海诚五金机械厂,gongchang
116.7026946,23.40349943,青航玩具厂,gongchang
116.6849201,23.40104897,汕头市多凡塑胶制品厂,gongchang
116.6835487,23.40978904,荣发机械厂,gongchang
116.6847886,23.39773375,振业塑料模具厂,gongchang
116.689406,23.40247782,安祺电子厂,gongchang
116.6829808,23.39664021,铭宇塑胶,gongchang
116.6464307,23.4086705,蓬溪苑薄膜厂,gongchang
116.6990741,23.39642301,卡丁妮童装厂,gongchang
116.6190033,23.38748209,宏晋塑胶制品厂,gongchang
